Team,Matches_Played,Wins,Losses,Win_Percentage,Logo
RCB,64,36,28,56.25,https://i.pinimg.com/736x/f2/66/2f/f2662f7ebe37a550ec9bdb4ea0caee8c.jpg
CSK,55,36,19,65.45,https://1000logos.net/wp-content/uploads/2024/03/Chennai-Super-Kings-Logo.png
PBKS,63,35,28,55.56,https://upload.wikimedia.org/wikipedia/en/d/d4/Punjab_Kings_Logo.svg
MI,72,34,38,47.22,https://upload.wikimedia.org/wikipedia/en/c/cd/Mumbai_Indians_Logo.svg
SRH,54,27,27,50.0,https://1000logos.net/wp-content/uploads/2024/03/Sunrisers-Hyderabad-Logo.png
DC,54,27,27,50.0,https://1000logos.net/wp-content/uploads/2024/03/Delhi-Capitals-Logo.png
KKR,58,26,32,44.83,https://1000logos.net/wp-content/uploads/2024/03/Kolkata-Knight-Riders-Logo.png
RR,55,26,29,47.27,https://1000logos.net/wp-content/uploads/2024/03/Rajasthan-Royals-Logo.png
LSG,53,22,31,41.51,https://1000logos.net/wp-content/uploads/2024/03/Lucknow-Super-Giants-Logo.png
GT,48,19,29,39.58,https://1000logos.net/wp-content/uploads/2024/03/Gujarat-Titans-Logo.png
