Team,Win_Probability,PTS,Rank,Qualified,Logo
CSK,100.0,18,1,Yes,https://1000logos.net/wp-content/uploads/2024/03/Chennai-Super-Kings-Logo.png
PBKS,77.78,14,2,Yes,https://upload.wikimedia.org/wikipedia/en/d/d4/Punjab_Kings_Logo.svg
DC,66.67,12,3,Yes,https://1000logos.net/wp-content/uploads/2024/03/Delhi-Capitals-Logo.png
GT,66.67,12,4,Yes,https://1000logos.net/wp-content/uploads/2024/03/Gujarat-Titans-Logo.png
KKR,55.56,10,5,No,https://1000logos.net/wp-content/uploads/2024/03/Kolkata-Knight-Riders-Logo.png
RR,44.44,8,6,No,https://1000logos.net/wp-content/uploads/2024/03/Rajasthan-Royals-Logo.png
LSG,44.44,8,7,No,https://1000logos.net/wp-content/uploads/2024/03/Lucknow-Super-Giants-Logo.png
SRH,22.22,4,8,No,https://1000logos.net/wp-content/uploads/2024/03/Sunrisers-Hyderabad-Logo.png
RCB,11.11,2,9,No,https://i.pinimg.com/736x/f2/66/2f/f2662f7ebe37a550ec9bdb4ea0caee8c.jpg
MI,11.11,2,10,No,https://upload.wikimedia.org/wikipedia/en/c/cd/Mumbai_Indians_Logo.svg
